material_id,formula_pretty,chemsys_query,host_id,mix_site,label,is_stable,energy_above_hull,classical_t,wtf,sigma_A,sigma_B,delta_q,r_A_eff,r_B_eff,q_A_eff,q_B_eff,A_elements,A_amounts,B_elements,B_amounts,normalized_composition
mp-1227775,BaSr3Zr4O12,Ba-O-Sr-Zr,Ba-O-Sr-Zr,A,1,False,0.009410113124996,0.947256254042356,0.9614317437595392,0.0736121593216773,0.0,0.0,1.4825000000000002,0.72,2.0,4.0,"[""Ba"", ""Sr""]","[0.25, 0.75]","[""Zr""]",[1.0],"{""Ba"": 0.25, ""Sr"": 0.75, ""Zr"": 1.0, ""O"": 3.0}"
mp-1521140,BaSrZr2O6,Ba-O-Sr-Zr,Ba-O-Sr-Zr,A,1,False,0.027815637749998,1.0039582129110884,0.9756072334767222,0.085,0.0,0.0,1.525,0.72,2.0,4.0,"[""Ba"", ""Sr""]","[0.5, 0.5]","[""Zr""]",[1.0],"{""Ba"": 0.5, ""Sr"": 0.5, ""Zr"": 1.0, ""O"": 3.0}"
mp-1521172,BaSrZr2O6,Ba-O-Sr-Zr,Ba-O-Sr-Zr,A,1,False,0.028209791749997,1.0039582129110884,0.9756072334767222,0.085,0.0,0.0,1.525,0.72,2.0,4.0,"[""Ba"", ""Sr""]","[0.5, 0.5]","[""Zr""]",[1.0],"{""Ba"": 0.5, ""Sr"": 0.5, ""Zr"": 1.0, ""O"": 3.0}"
mp-1048852,CaLaCr2O6,Ca-Cr-La-O,Ca-Cr-La-O,A,1,False,0.034090690500001,0.961524853821906,0.9650340686168764,0.01,0.0,0.5,1.35,0.615,2.5,3.0,"[""Ca"", ""La""]","[0.5, 0.5]","[""Cr""]",[1.0],"{""Ca"": 0.5, ""La"": 0.5, ""Cr"": 1.0, ""O"": 3.0}"
mp-1043900,CaLa(FeO3)2,Ca-Fe-La-O,Ca-Fe-La-O,A,1,False,0.000784221750002,0.947419354743834,0.9508770896151616,0.01,0.0,0.5,1.35,0.645,2.5,3.0,"[""Ca"", ""La""]","[0.5, 0.5]","[""Fe""]",[1.0],"{""Ca"": 0.5, ""La"": 0.5, ""Fe"": 1.0, ""O"": 3.0}"
mp-1227525,CaLa2(FeO3)3,Ca-Fe-La-O,Ca-Fe-La-O,A,1,False,0.007274074666669,0.9543348244864894,0.9520296679056044,0.0094280904158206,0.0,0.3333333333333339,1.3533333333333335,0.645,2.6666666666666665,3.0,"[""Ca"", ""La""]","[0.3333333333333333, 0.6666666666666666]","[""Fe""]",[1.0],"{""Ca"": 0.3333333333333333, ""La"": 0.6666666666666666, ""Fe"": 1.0, ""O"": 3.0}"
mp-1227194,CaLa3(FeO3)4,Ca-Fe-La-O,Ca-Fe-La-O,A,1,False,0.012602566875003,0.9543348244864894,0.9526059570508256,0.0086602540378443,0.0,0.25,1.355,0.645,2.75,3.0,"[""Ca"", ""La""]","[0.25, 0.75]","[""Fe""]",[1.0],"{""Ca"": 0.25, ""La"": 0.75, ""Fe"": 1.0, ""O"": 3.0}"
mp-1227659,Ca2LaMn3O9,Ca-La-Mn-O,Ca-La-Mn-O,A,0,False,0.078342723888887,1.0038718033425598,1.0063143138129795,0.0094280904158206,0.0,0.333333333333333,1.346666666666667,0.53,2.333333333333333,4.0,"[""Ca"", ""La""]","[0.6666666666666666, 0.3333333333333333]","[""Mn""]",[1.0],"{""Ca"": 0.6666666666666666, ""La"": 0.3333333333333333, ""Mn"": 1.0, ""O"": 3.0}"
mp-1227732,Ca3LaMn4O12,Ca-La-Mn-O,Ca-La-Mn-O,A,0,False,0.066062269124993,1.0038718033425598,1.0057036861953743,0.0086602540378443,0.0,0.25,1.3450000000000002,0.53,2.25,4.0,"[""Ca"", ""La""]","[0.75, 0.25]","[""Mn""]",[1.0],"{""Ca"": 0.75, ""La"": 0.25, ""Mn"": 1.0, ""O"": 3.0}"
mp-1315251,Ca3LaMn4O12,Ca-La-Mn-O,Ca-La-Mn-O,A,0,False,0.078513217624994,1.0038718033425598,1.0057036861953743,0.0086602540378443,0.0,0.25,1.3450000000000002,0.53,2.25,4.0,"[""Ca"", ""La""]","[0.75, 0.25]","[""Mn""]",[1.0],"{""Ca"": 0.75, ""La"": 0.25, ""Mn"": 1.0, ""O"": 3.0}"
